id,q17,q19,q22,q24,q25,q27,q31,q32,q34,q35,q37,q38,q40,q41,q42,q43,q44,q45,q46,q50,q51,q52,q53,q54
59,5,5,5,5,3,4,1,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,1,5
60,4,3,2,2,2,2,1,2,2,1,2,2,2,3,2,3,4,2,1,2,2,3,2,4
61,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
62,5,4,5,5,5,5,5,5,3,5,2,1,5,4,5,5,4,5,5,4,5,5,4,5
63,5,5,4,4,4,3,3,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5
64,5,3,1,1,1,5,1,3,2,1,5,1,1,1,1,4,1,1,1,2,1,4,1,5
65,3,4,1,1,1,3,4,5,1,2,3,1,1,1,1,1,2,1,3,3,1,2,1,4
66,4,4,4,4,3,4,5,5,4,5,2,3,3,3,5,2,4,3,4,3,3,5,5,4
67,5,5,5,4,5,4,5,5,4,5,4,5,4,4,4,4,4,5,5,5,4,5,5,5
68,3,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,1,2,4,3,2
69,2,4,2,3,2,1,5,1,2,5,1,2,1,2,2,3,1,1,2,2,5,4,5,4
70,4,4,4,5,4,3,1,4,3,1,5,3,4,4,4,3,5,4,4,3,3,4,1,5
71,4,1,1,1,3,3,1,1,1,1,1,3,1,1,1,2,2,2,1,1,1,1,1,1
72,4,4,5,4,2,2,4,4,4,4,4,3,5,3,3,2,5,3,3,3,4,4,5,4
73,4,3,2,3,3,3,4,4,3,4,4,2,4,3,3,3,3,3,4,2,5,4,4,4
74,4,4,5,3,5,3,2,2,5,5,2,4,4,5,3,5,3,3,1,4,4,3,5,4
75,1,5,2,5,5,4,5,4,4,5,4,3,3,3,4,4,3,3,3,4,4,5,3,5
76,4,3,3,2,3,2,4,3,3,4,4,4,2,3,1,1,3,3,2,3,1,4,5,4
77,3,3,3,2,2,2,2,2,1,2,3,3,3,2,2,2,3,2,2,1,1,2,1,2
78,5,5,5,5,5,4,5,5,5,3,2,5,5,5,5,5,5,5,5,2,2,5,4,5
79,3,3,4,3,3,2,5,3,2,5,2,4,2,4,5,4,5,4,4,3,5,5,5,4
80,4,4,2,3,4,3,5,5,2,5,4,2,2,3,4,3,4,3,5,3,1,2,5,4
81,4,3,3,4,4,3,2,4,3,1,1,3,3,5,3,5,5,3,1,3,3,3,3,4
82,4,4,3,3,4,3,5,5,3,4,4,3,4,3,3,4,3,3,3,2,4,4,4,4
83,4,1,3,2,1,5,3,4,4,2,5,5,4,5,3,3,4,2,4,1,2,3,1,3
84,5,3,5,3,3,3,5,4,3,4,3,4,3,3,4,4,3,3,4,3,3,4,5,4
85,4,4,3,3,3,3,1,3,1,2,3,2,2,2,4,2,2,2,2,3,4,3,1,4
86,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1
87,5,1,1,1,2,5,4,2,1,1,5,4,2,2,1,2,1,1,3,1,1,3,1,1
88,4,5,5,4,4,4,1,5,3,1,5,5,3,4,5,5,5,4,3,4,4,3,1,5
89,2,4,2,3,2,1,2,4,3,3,2,2,3,3,2,3,4,2,3,2,1,3,2,5
90,4,4,3,3,4,2,4,3,3,5,3,5,3,4,3,2,4,1,1,3,1,3,5,4
91,5,5,5,3,5,5,4,4,4,2,5,5,5,5,3,5,5,3,3,3,2,3,2,4
92,2,5,4,4,3,4,5,5,5,1,5,5,4,4,4,5,5,4,5,5,3,5,3,5
93,5,5,5,4,4,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1
94,2,2,1,2,1,5,2,2,2,5,5,2,5,4,2,1,2,1,1,1,1,4,5,2
95,3,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
96,5,4,5,4,4,3,2,4,2,2,2,4,4,3,4,4,4,3,2,1,3,5,1,4
97,5,4,5,5,5,5,5,5,5,4,3,5,2,5,5,5,5,2,5,3,1,5,5,5
98,4,2,2,3,2,2,1,1,3,1,1,2,2,4,2,2,3,2,1,1,1,5,1,3
99,4,4,5,5,4,3,3,2,4,3,4,4,4,4,5,4,3,4,4,4,4,3,3,4
100,4,5,4,4,4,5,5,5,4,5,5,5,4,4,5,4,4,5,5,3,4,5,5,5
101,5,3,4,2,2,3,4,4,3,4,5,4,4,2,1,4,3,1,2,4,4,3,3,4
102,5,4,5,3,4,3,5,5,5,5,3,5,4,5,5,2,5,5,4,3,3,4,5,5
103,4,3,5,4,3,3,5,3,3,3,3,4,3,3,3,3,5,5,2,5,1,5,4,4
104,3,2,4,3,2,2,5,2,2,5,2,2,2,3,1,3,1,1,2,1,1,3,5,2
105,4,5,4,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
106,5,4,5,4,3,2,3,4,2,3,3,5,3,2,2,2,3,2,3,1,2,2,2,4
